ダウンロードした時刻：2018/07/29 23:17:12

,横浜,神戸,大阪,東広島,呉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
2017/7/28,26.9,28.9,28.9,27.8,28.8
2017/7/29,27.1,29.6,30.6,27.9,29.2
2017/7/30,26.1,28.6,29.6,28.3,29.5
2017/7/31,28.0,29.6,30.6,27.1,29.0
2017/8/1,26.5,29.5,30.1,27.7,29.4
2017/8/2,23.1,29.8,29.5,26.6,29.6
2017/8/3,24.4,29.6,29.1,27.1,29.4
2017/8/4,25.4,30.2,30.2,28.0,30.2
2017/8/5,27.7,30.0,30.4,28.7,30.6
2017/8/6,29.1,30.6,31.3,27.7,30.3
2017/8/7,28.6,27.4,26.8,25.7,28.1
2017/8/8,29.5,28.5,28.0,26.6,28.6
2017/8/9,29.9,29.0,29.8,25.4,27.5
2017/8/10,25.8,29.9,30.7,27.1,28.5
2017/8/11,23.0,30.5,30.3,26.1,28.4
2017/8/12,24.4,29.3,29.0,25.7,27.9
2017/8/13,26.6,28.4,27.9,24.7,27.5
2017/8/14,24.6,27.9,27.9,24.4,26.2
2017/8/15,23.9,26.6,26.3,25.0,26.6
2017/8/16,22.0,28.5,28.0,25.5,26.5
2017/8/17,24.5,28.4,28.8,26.4,27.9
2017/8/18,26.7,28.9,29.1,25.7,27.5
2017/8/19,27.0,29.5,29.4,26.1,27.7
2017/8/20,25.2,29.4,29.8,25.7,28.2
2017/8/21,27.0,29.7,30.2,25.8,28.2
2017/8/22,28.0,29.5,30.5,26.6,29.1
2017/8/23,30.0,30.3,30.2,27.9,29.8
2017/8/24,29.9,30.7,31.2,27.6,29.8
2017/8/25,30.6,30.9,31.2,27.7,29.4
2017/8/26,29.4,27.9,27.9,24.7,26.0
2017/8/27,27.0,28.5,28.4,23.7,26.9
2017/8/28,26.7,28.7,28.9,24.7,27.6
2017/8/29,28.3,29.4,30.2,25.9,28.6
2017/8/30,28.4,28.5,28.0,25.9,28.9
2017/8/31,22.3,27.4,27.0,23.8,27.6
2017/9/1,21.9,26.2,26.3,21.2,25.4
2017/9/2,20.4,25.7,25.8,21.2,25.0
2017/9/3,22.5,25.5,25.3,21.6,25.0
2017/9/4,21.0,24.7,24.4,20.7,24.2
2017/9/5,23.4,24.8,24.8,20.8,23.2
2017/9/6,22.2,25.4,25.5,23.0,25.1
2017/9/7,23.2,26.5,26.7,23.1,24.8
2017/9/8,23.7,26.2,25.9,22.6,24.7
2017/9/9,24.7,26.2,26.3,21.5,24.5
2017/9/10,25.6,27.5,27.6,21.7,24.7
2017/9/11,25.9,26.8,27.2,21.8,24.6
2017/9/12,25.6,25.7,24.8,23.6,25.6
2017/9/13,26.3,25.7,25.8,22.0,24.5
2017/9/14,25.8,25.3,24.8,21.3,24.4
2017/9/15,23.6,23.4,22.5,19.7,23.2
2017/9/16,20.9,21.3,20.4,18.6,21.8
2017/9/17,19.0,24.0,24.1,20.6,22.9
2017/9/18,27.1,25.0,24.7,21.2,23.3
2017/9/19,25.2,24.5,24.4,19.8,23.1
2017/9/20,24.0,24.5,24.7,20.6,24.1
2017/9/21,24.6,23.1,23.3,18.4,22.2
2017/9/22,22.2,22.0,20.8,17.4,20.6
2017/9/23,20.2,23.3,22.9,19.8,22.2
2017/9/24,22.2,23.7,23.6,18.3,21.3
2017/9/25,24.0,24.3,24.5,19.3,22.3
2017/9/26,24.0,24.7,24.6,19.9,23.1
2017/9/27,23.9,24.5,24.6,19.7,22.4
2017/9/28,19.9,22.3,22.1,19.1,22.5
2017/9/29,20.8,21.2,21.3,17.0,20.7
2017/9/30,20.9,22.0,21.8,17.0,20.9
2017/10/1,21.2,21.6,21.4,16.0,19.9
2017/10/2,23.0,21.4,21.2,18.0,20.4
2017/10/3,21.9,22.2,22.0,20.3,23.5
2017/10/4,18.5,18.9,19.1,16.5,19.9
2017/10/5,17.3,19.9,19.2,16.2,19.5
2017/10/6,16.2,19.0,18.0,16.5,18.6
2017/10/7,18.9,20.6,20.5,18.5,20.5
2017/10/8,21.0,23.5,23.3,19.6,21.9
2017/10/9,21.5,24.0,24.2,19.6,22.4
2017/10/10,23.2,24.3,24.6,20.8,23.0
2017/10/11,22.1,24.0,24.5,21.3,23.8
2017/10/12,23.8,22.4,21.5,18.4,22.2
2017/10/13,16.6,19.2,18.0,15.9,18.6
2017/10/14,15.1,19.7,19.3,17.4,19.9
2017/10/15,15.5,17.6,17.1,15.4,17.9
2017/10/16,13.2,16.1,15.5,14.2,16.5
2017/10/17,13.8,15.9,15.0,14.2,17.2
2017/10/18,15.1,17.2,16.2,13.5,17.1
2017/10/19,11.3,16.2,15.0,13.3,16.1
2017/10/20,14.6,17.6,16.9,16.0,18.4
2017/10/21,16.6,18.4,17.1,15.3,18.0
2017/10/22,17.5,18.7,17.2,15.7,18.5
2017/10/23,19.7,16.3,16.4,13.4,16.4
2017/10/24,15.8,15.3,14.6,11.5,15.9
2017/10/25,13.3,16.8,15.9,11.5,16.2
2017/10/26,15.4,17.2,16.7,11.4,16.1
2017/10/27,15.6,18.4,18.2,13.6,17.4
2017/10/28,14.7,17.8,17.0,15.4,18.2
2017/10/29,14.7,18.5,17.3,15.9,18.0
2017/10/30,15.9,13.8,14.2,11.1,14.6
2017/10/31,13.7,13.4,13.2,8.3,12.3
2017/11/1,14.6,14.1,14.0,10.1,14.0
2017/11/2,16.0,15.7,15.6,12.7,16.4
2017/11/3,17.0,17.3,17.0,13.3,16.8
2017/11/4,16.6,16.0,16.1,10.6,14.4
2017/11/5,14.2,13.1,13.0,6.9,11.6
2017/11/6,15.1,14.9,14.4,8.6,13.1
2017/11/7,16.8,17.2,16.9,12.5,16.4
2017/11/8,17.8,17.1,17.0,14.4,17.4
2017/11/9,15.2,15.2,15.3,10.4,15.4
2017/11/10,15.0,14.4,13.5,10.5,15.1
2017/11/11,17.2,15.4,14.7,11.6,15.3
2017/11/12,13.0,12.6,12.3,7.7,12.8
2017/11/13,12.4,13.8,12.6,9.3,13.5
2017/11/14,12.8,13.6,12.6,11.0,15.2
2017/11/15,13.7,13.1,13.2,7.9,12.9
2017/11/16,12.5,10.8,11.2,7.5,10.8
2017/11/17,10.9,10.9,10.3,5.6,9.8
2017/11/18,11.7,10.9,10.1,7.9,10.9
2017/11/19,9.5,8.6,9.0,4.8,7.9
2017/11/20,7.7,7.8,7.5,4.1,8.2
2017/11/21,8.9,8.7,8.2,4.5,8.9
2017/11/22,7.7,10.9,9.6,4.7,9.1
2017/11/23,10.1,10.9,10.9,6.8,10.1
2017/11/24,11.0,8.7,9.3,4.0,8.9
2017/11/25,10.5,9.4,9.5,3.9,9.0
2017/11/26,12.8,11.1,9.8,5.8,10.4
2017/11/27,12.4,12.8,12.2,7.6,12.3
2017/11/28,12.3,13.5,13.2,7.8,12.2
2017/11/29,13.3,14.8,13.7,10.4,14.1
2017/11/30,12.3,14.1,13.9,9.4,12.8
2017/12/1,9.3,10.3,10.7,5.4,8.6
2017/12/2,8.5,8.5,8.6,2.6,6.8
2017/12/3,9.1,10.3,9.7,5.0,9.2
2017/12/4,9.7,9.4,8.3,4.3,8.9
2017/12/5,10.1,6.7,7.2,2.1,5.9
2017/12/6,8.1,6.0,6.3,1.5,5.3
2017/12/7,7.6,7.8,7.2,4.5,8.6
2017/12/8,6.5,7.4,6.6,4.4,7.3
2017/12/9,7.0,6.8,6.7,3.5,7.3
2017/12/10,9.3,10.2,9.0,5.9,10.0
2017/12/11,12.8,8.3,8.3,4.1,7.8
2017/12/12,7.4,3.3,3.9,-0.8,2.8
2017/12/13,6.5,4.2,4.8,0.2,3.8
2017/12/14,6.5,5.4,5.6,1.5,5.5
2017/12/15,6.3,7.2,7.1,3.2,7.4
2017/12/16,9.4,8.5,8.2,3.9,7.6
2017/12/17,7.0,4.2,4.8,-0.4,3.0
2017/12/18,5.6,5.4,5.4,1.9,5.7
2017/12/19,7.6,7.3,7.2,2.6,7.4
2017/12/20,6.9,6.7,5.6,-0.2,5.1
2017/12/21,6.4,6.9,5.9,0.9,5.8
2017/12/22,6.7,6.7,6.4,2.1,7.1
2017/12/23,8.0,8.2,7.3,2.1,7.5
2017/12/24,8.6,10.0,8.9,4.5,8.7
2017/12/25,10.3,8.9,9.3,4.2,7.7
2017/12/26,8.1,6.4,7.0,1.6,6.1
2017/12/27,5.3,4.9,5.4,1.6,4.5
2017/12/28,4.9,5.4,5.5,0.1,4.1
2017/12/29,6.3,7.3,6.9,2.8,6.5
2017/12/30,7.1,7.2,7.0,4.0,7.7
2017/12/31,4.8,7.2,6.7,3.5,7.3
2018/1/1,6.5,6.7,7.2,1.9,5.5
2018/1/2,7.6,7.0,7.1,2.5,6.3
2018/1/3,5.7,5.0,4.9,2.9,6.8
2018/1/4,5.7,4.9,4.0,1.5,5.8
2018/1/5,4.4,3.9,3.6,2.8,6.3
2018/1/6,5.8,6.3,5.6,3.3,8.0
2018/1/7,7.7,6.4,5.8,1.9,6.3
2018/1/8,6.6,8.5,6.9,5.2,7.3
2018/1/9,9.1,7.9,8.0,4.1,7.0
2018/1/10,7.4,4.7,5.1,2.1,5.2
2018/1/11,5.8,1.9,2.6,-2.3,1.3
2018/1/12,3.5,1.8,2.4,-4.0,1.1
2018/1/13,3.6,2.7,3.4,-2.3,2.1
2018/1/14,4.9,4.1,3.1,-1.2,3.6
2018/1/15,7.0,5.8,5.2,0.1,4.4
2018/1/16,8.2,9.0,8.7,4.7,8.1
2018/1/17,9.5,12.1,10.8,9.0,11.1
2018/1/18,9.2,10.8,10.5,5.6,8.7
2018/1/19,8.8,9.3,8.6,4.4,8.5
2018/1/20,7.3,8.2,7.5,3.9,7.7
2018/1/21,7.6,7.8,7.1,2.8,7.1
2018/1/22,2.3,4.9,4.0,0.4,4.7
2018/1/23,5.7,5.2,5.8,1.9,5.9
2018/1/24,3.1,0.1,0.9,-3.2,-0.3
2018/1/25,0.7,0.3,0.8,-2.6,1.0
2018/1/26,1.2,1.5,1.6,-1.7,1.6
2018/1/27,2.9,1.5,1.9,-1.4,2.2
2018/1/28,3.0,2.4,2.0,-0.1,3.9
2018/1/29,4.9,4.1,4.6,0.0,2.7
2018/1/30,4.2,2.5,3.1,-1.8,1.6
2018/1/31,4.9,4.0,3.6,-0.6,3.3
2018/2/1,3.5,3.5,3.1,0.7,4.6
